author,rating,no_of_reviews,title
Megan Miranda,4.0 out of 5 stars,151,The Last House Guest
Kristina McMorris,4.3 out of 5 stars,1082,Sold on a Monday: A Novel
Rachel Hollis,4.6 out of 5 stars,1637,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals"
Ryan T. Higgins,4.9 out of 5 stars,243,We Don't Eat Our Classmates
Yuval Noah Harari,4.5 out of 5 stars,6128,Sapiens: A Brief History of Humankind
Samin Nosrat,4.8 out of 5 stars,927,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking"
Heather Morris,4.6 out of 5 stars,2577,The Tattooist of Auschwitz: A Novel
Dale Carnegie,4.6 out of 5 stars,7458,How to Win Friends & Influence People
Dave Ramsey,4.7 out of 5 stars,3843,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness
Richard Powers,4.4 out of 5 stars,877,The Overstory: A Novel
Laura Lippman,3.9 out of 5 stars,113,Lady in the Lake: A Novel
Richard Russo,4.0 out of 5 stars,61,Chances Are . . .: A novel
Gabrielle Bernstein,0,0,Super Attractor: Methods for Manifesting a Life beyond Your Wildest Dreams
Adam Rubin,4.5 out of 5 stars,2418,Dragons Love Tacos
Dr. Seuss,4.8 out of 5 stars,4724,"Oh, the Places You'll Go!  "
J. K. Rowling,0,0,Harry Potter and the Goblet of Fire: The Illustrated Edition
Toni Morrison,4.2 out of 5 stars,407,Song of Solomon
Elie Wiesel,4.7 out of 5 stars,4946,Night (Night)
Brené Brown,4.7 out of 5 stars,3292,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
Tao Le,4.1 out of 5 stars,162,"First Aid for the USMLE Step 1 2019,  Twenty-ninth edition"
Adir Levy,4.8 out of 5 stars,241,What Should Danny Do? School Day (The Power to Choose Series)
Ruth Ware,4.2 out of 5 stars,132,The Turn of the Key
Jennifer Smith,4.5 out of 5 stars,2343,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.
Lisa Jewell,4.4 out of 5 stars,1242,Then She Was Gone: A Novel
Rand McNally,4.6 out of 5 stars,166,Rand McNally 2020 Large Scale Road Atlas
Hopscotch Girls,4.6 out of 5 stars,230,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls"
Giles Andreae,4.6 out of 5 stars,3984,Giraffes Can't Dance
Jordan B. Peterson,4.6 out of 5 stars,5223,12 Rules for Life: An Antidote to Chaos
American Psychiatric Association,4.2 out of 5 stars,3090,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5"
Amy Ramos,4.1 out of 5 stars,2178,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle
Craig Smith,4.7 out of 5 stars,5978,The Wonky Donkey
William Golding,4.3 out of 5 stars,2878,Lord of the Flies
Jamie Oliver,4.5 out of 5 stars,358,5 Ingredients: Quick & Easy Food
Gail Honeyman,4.6 out of 5 stars,5379,Eleanor Oliphant Is Completely Fine: A Novel
Chris Voss,4.8 out of 5 stars,2286,Never Split the Difference: Negotiating As If Your Life Depended On It
William H. McRaven,4.7 out of 5 stars,2714,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World
David McCullough,4.2 out of 5 stars,567,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West
Ann Whitford Paul,4.6 out of 5 stars,1338,If Animals Kissed Good Night
Margaret Wise Brown,4.7 out of 5 stars,3473,Goodnight Moon
