authors,avg_rating,ratings_count,title
Lee Child,4.4,3436,"Tripwire (Jack Reacher, Book 3)"
Hoda Kotb,N/A,0,I Really Needed This Today: Words to Live By
Atul Gawande,4.8,7313,Being Mortal: Medicine and What Matters in the End
Tish Rabe,4.8,890,There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library)
Margaret Atwood,N/A,0,The Testaments: A Novel
Elaine N. Marieb,3.4,57,Human Anatomy & Physiology (11th Edition)
Larry Correia,4.7,66,"Monster Hunter Guardian: Monster Hunter International, Book 7"
Kim Scott,4.4,396,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity
Marie Kondō,4.4,14517,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
Allison Wortche,3.7,7,"I Love Science: Explore with sliders, lift-the-flaps, a wheel, and more!"
Shari Lapena,4.2,60,Someone We Know: A Novel
Toni Morrison,4.1,440,Sula
Erica L. Meltzer,4.6,94,"The Critical Reader, 3rd Edition: The Complete Guide to SAT Reading"
"Gundry  MD, Dr. Steven R",4.3,617,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free"
Victor Schwartz,4.2,31,"Prosser, Wade and Schwartz's Torts, Cases and Materials, 13th (University Casebook Series)"
"Jarvis PhD  APN  CNP, Carolyn",4.0,16,Physical Examination and Health Assessment
Jon Gordon,4.7,1708,"The Energy Bus: 10 Rules to Fuel Your Life, Work, and Team with Positive Energy"
"Potter RN  MSN  PhD  FAAN, Patricia A.",4.0,116,Fundamentals of Nursing
Lysa TerKeurst,4.4,153,It's Not Supposed to Be This Way Study Guide: Finding Unexpected Strength When Disappointments Leave You Shattered
Lani Lynn Vale,4.8,117,I'd Rather Not (KPD Motorcycle Patrol Book 3)
Dr. Suzy Shaw,4.3,203,"The Essential Keto Diet for Beginners #2019: 5-Ingredient Affordable, Quick & Easy Ketogenic Recipes | Lose Weight, Lower Cholesterol & Reverse Diabetes | 21-Day Keto Meal Plan"
Cara Natterson,4.8,1171,The Care and Keeping of You 2: The Body Book for Older Girls
"ScholasticBooks,",4.7,212,Instant Personal Poster Sets Read All about Me: 30 Big Write-And-Read Learning Posters Ready for Kids to Personalize and Display with Pride!   [INSTANT PERSONAL POSTER SETS R] [Paperback]
J. D. Vance,4.4,12182,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis
Sandra Boynton,4.7,2611,The Going-To-Bed Book
"Walker PhD, Matthew",4.7,630,Why We Sleep: Unlocking the Power of Sleep and Dreams
Christina Geist,4.1,19,"Sorry, Grown-Ups, You Can't Go to School!"
Eckhart Tolle,4.6,4232,"A New Earth: Awakening to Your Life's Purpose (Oprah's Book Club, Selection 61)"
Mike Kim,4.5,343,The LSAT Trainer: A Remarkable Self-Study Guide For The Self-Driven Student
Garth Ennis,4.8,16,The Boys Omnibus Vol. 1 TPB
Charles Brandt,4.6,983,"I Heard You Paint Houses: Frank ""The Irishman"" Sheeran & Closing the Case on Jimmy Hoffa"
B. J. Novak,4.8,4377,The Book with No Pictures
Amir Levine,4.7,1152,Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love
Brandon Turner,4.6,568,The Book on Rental Property Investing: How to Create Wealth and Passive Income Through Intelligent Buy & Hold Real Estate Investing!
Tish Rabe,4.4,58,On the First Day of Kindergarten
Wynn Kapit,4.4,1234,The Anatomy Coloring Book
Barbara O'Connor,4.8,289,Wish
Michael D. Watkins,4.4,785,"The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter, Updated and Expanded"
Heidi Murkoff,4.6,867,What to Expect the First Year
Mike Kim,4.5,343,The LSAT Trainer: A Remarkable Self-Study Guide For The Self-Driven Student
Garth Ennis,4.8,16,The Boys Omnibus Vol. 1 TPB
Charles Brandt,4.6,983,"I Heard You Paint Houses: Frank ""The Irishman"" Sheeran & Closing the Case on Jimmy Hoffa"
B. J. Novak,4.8,4377,The Book with No Pictures
Amir Levine,4.7,1152,Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love
Brandon Turner,4.6,568,The Book on Rental Property Investing: How to Create Wealth and Passive Income Through Intelligent Buy & Hold Real Estate Investing!
Tish Rabe,4.4,58,On the First Day of Kindergarten
Wynn Kapit,4.4,1234,The Anatomy Coloring Book
Barbara O'Connor,4.8,289,Wish
Michael D. Watkins,4.4,785,"The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter, Updated and Expanded"
Heidi Murkoff,4.6,867,What to Expect the First Year
Shannon Roberts,4.9,108,"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal"
Ibram X. Kendi,4.2,10,How to Be an Antiracist
Merriam-Webster,4.4,196,"Merriam-Webster's Dictionary and Thesaurus, Newest Edition (c) 2014"
Jay Heinrichs,4.1,128,"Thank You for Arguing, Third Edition: What Aristotle, Lincoln, and Homer Simpson Can Teach Us About the Art of Persuasion"
Robert A. Heinlein,4.5,634,The Moon Is a Harsh Mistress
"Strunk Jr., William",4.7,1854,"The Elements of Style, Fourth Edition"
Rhonda Byrne,4.6,6588,The Secret
Aphanie Kalton,4.2,187,The Easy Keto Meal Prep: 800 Easy and Delicious Recipes - 21- Day Meal Plan - Lose Up to 20 Pounds in 3 Weeks
Aaron Franklin,4.8,1680,Franklin Barbecue: A Meat-Smoking Manifesto: A Cookbook
Michael Bazzell,4.6,3,Extreme Privacy: What It Takes to Disappear in America
Rick Atkinson,4.7,228,"The British Are Coming: The War for America, Lexington to Princeton, 1775-1777 (The Revolution Trilogy)"
Kate Quinn,4.7,3167,The Alice Network: A Novel
David Grann,4.6,4309,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI
Educational Testing Service,4.3,110,"Official GRE Super Power Pack, Second Edition"
Siegfried Engelmann,4.5,2626,Teach Your Child to Read in 100 Easy Lessons
N/A,4.1,1173,"Klutz Lego Chain Reactions Science & Building Kit, Age 8"
Amy Krouse Rosenthal,4.8,371,"Dear Girl,"
Simon Sinek,4.5,1093,Leaders Eat Last: Why Some Teams Pull Together and Others Don't
Jane Yolen,4.6,805,How Do Dinosaurs Say Happy Birthday?
Gordon Korman,4.7,223,Restart
Mark Manson,4.3,318,Everything Is F*cked: A Book About Hope
Stan Lee,4.8,171,"Marvel Encyclopedia, New Edition"
J.K. Rowling,4.7,15239,"Harry Potter and the Sorcerer's Stone, Book 1"
Thug Kitchen,4.6,5904,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)
Kiki Thorpe,4.8,453,The Never Girls Collection #1 (Disney: The Never Girls)
Sharon M. Draper,4.8,2750,Out of My Mind
Napoleon Hill,4.5,5389,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series)
Zondervan,4.7,625,The Beginner's Bible: Timeless Children's Stories
Emily Oster,4.3,113,"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool"
Jenny Hale,4.4,69,Summer at Firefly Beach: The perfect feel good summer romance
Carley Roney,4.5,1623,"The Knot Ultimate Wedding Planner & Organizer [binder edition]: Worksheets, Checklists, Etiquette, Calendars, and Answers to Frequently Asked Questions by Roney, Carley (2013) Ring-bound"
Pavel Tsatsouline,4.8,26,The Quick and the Dead: Total Training for the Advanced Minimalist
Laurie Keller,4.7,245,Do Unto Otters: A Book About Manners
Sam McBratney,4.7,2205,Guess How Much I Love You
Steve Anderson,5.0,14,The Bezos Letters: 14 Principles to Grow Your Business Like Amazon
Angela Duckworth,4.5,1210,Grit: The Power of Passion and Perseverance
Joanna Gaines,4.6,609,Homebody: A Guide to Creating Spaces You Never Want to Leave
Sharon M. Draper,4.8,2750,Out of My Mind
Napoleon Hill,4.5,5389,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series)
Zondervan,4.7,625,The Beginner's Bible: Timeless Children's Stories
Emily Oster,4.3,113,"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool"
Jenny Hale,4.4,69,Summer at Firefly Beach: The perfect feel good summer romance
Carley Roney,4.5,1623,"The Knot Ultimate Wedding Planner & Organizer [binder edition]: Worksheets, Checklists, Etiquette, Calendars, and Answers to Frequently Asked Questions by Roney, Carley (2013) Ring-bound"
Pavel Tsatsouline,4.8,26,The Quick and the Dead: Total Training for the Advanced Minimalist
Laurie Keller,4.7,245,Do Unto Otters: A Book About Manners
Sam McBratney,4.7,2205,Guess How Much I Love You
Kerry Fisher,4.2,214,The Woman I Was Before: A gripping emotional page turner with a twist
Steve Anderson,5.0,14,The Bezos Letters: 14 Principles to Grow Your Business Like Amazon
Angela Duckworth,4.5,1210,Grit: The Power of Passion and Perseverance
Joanna Gaines,4.6,609,Homebody: A Guide to Creating Spaces You Never Want to Leave
Workman Publishing,4.8,524,Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!
C.J. Box,4.2,38,The Bitterroots: A Novel (Cassie Dewell)
Kim Krans,4.7,1504,The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set)
Roger Priddy,4.8,416,First 100 Board Book Box Set (3 books)
Kristin Hannah,4.6,6966,The Great Alone: A Novel
Andrzej Sapkowski,4.5,129,"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire"
Gino Wickman,4.6,569,Traction: Get a Grip on Your Business
Dawn Huebner,4.7,817,What to Do When You Worry Too Much: A Kid's Guide to Overcoming Anxiety (What-to-Do Guides for Kids)
J.K. Rowling,4.9,2714,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)"
Rebecca Skloot,4.6,6145,The Immortal Life of Henrietta Lacks
Kathryn Meyer Griffith,4.5,842,Scraps of Paper (The First Spookie Town Murder Mystery Book 1)
JJ Smith,4.7,9114,10-Day Green Smoothie Cleanse
Charles Duhigg,4.5,4943,The Power of Habit: Why We Do What We Do in Life and Business
Truman Capote,4.5,1914,In Cold Blood
Jory John,4.7,1256,The Bad Seed
Zondervan,4.8,685,"NIV, Adventure Bible, Hardcover, Full Color"
Teri Turner,4.8,227,"No Crumbs Left: Whole30 Endorsed, Recipes for Everyday Food Made Marvelous"
John Green,4.4,1367,Turtles All the Way Down
Linsey Davis,4.2,13,One Big Heart: A Celebration of Being More Alike than Different
Linsey Davis,4.2,13,One Big Heart: A Celebration of Being More Alike than Different
"Greger M.D. FACLM, Michael",4.6,729,The How Not to Die Cookbook: 100+ Recipes to Help Prevent and Reverse Disease
Sue Monk Kidd,4.7,3284,The Secret Life of Bees
Ta-Nehisi Coates,4.6,4184,Between the World and Me
Laura Numeroff,4.7,921,If You Give a Mouse a Cookie Book
Robert Dugoni,4.5,1499,The Eighth Sister: A Thriller (Charles Jenkins Book 1)
Kiki Thorpe,4.5,10,The Never Girls Volume 1: Books 1-3 (Disney: The Never Girls)
Workman Publishing,4.8,352,Everything You Need to Ace Science in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks)
Nielson Phu,4.8,270,The College Panda's SAT Math: Advanced Guide and Workbook for the New SAT
Dr. Joe Dispenza,4.8,838,Becoming Supernatural: How Common People Are Doing the Uncommon
Lisa Gray,4.3,1620,Thin Air (Jessica Shaw Book 1)
DK,4.8,45,Touch and Feel: Wild Animals
Louis Sachar,4.7,2512,Holes (Holes Series)
Joyful Journals,4.3,52,"Graph Paper Composition Notebook: Grid Paper Notebook, Quad Ruled, 100 Sheets (Large, 8.5 x 11)"
Mike Meyers,4.1,66,"CompTIA A+ Certification All-in-One Exam Guide, Tenth Edition (Exams 220-1001 & 220-1002)"
Charles L. Knapp,3.3,5,Problems in Contract Law: Cases and Materials [Connected Casebook] (Aspen Casebook)
Suzanne Lang,4.7,238,Grumpy Monkey
Dale Dubin,4.7,1050,"Rapid Interpretation of EKG's, Sixth Edition"
Abby Jimenez,N/A,0,The Happy Ever After Playlist
Bella Thorne,4.0,33,The Life of a Wannabe Mogul: Mental Disarray
"Van Slyke, Caren",4.7,347,GED Test Prep Plus 2019: 2 Practice Tests + Proven Strategies + Online (Kaplan Test Prep)
Herve Tullet,4.7,2141,"Press Here (Baby Board Book, Learning to Read Book, Toddler Board Book, Interactive Book for Kids)"
Christine Coughlin,4.6,3,A Lawyer Writes: A Practical Guide to Legal Analysis
Jennifer Serravallo,4.8,166,The Writing Strategies Book: Your Everything Guide to Developing Skilled Writers
Rand McNally,4.7,22,Rand McNally 2020 National Park Atlas & Guide
Madeline Miller,4.6,1736,CIRCE
Claire Lombardo,4.0,111,The Most Fun We Ever Had: A Novel
Susan Cain,4.5,5676,Quiet: The Power of Introverts in a World That Can't Stop Talking
Shel Silverstein,4.9,1818,Where the Sidewalk Ends: Poems and Drawings
"Middleberg MS  RD  CDN, Stephanie",4.6,485,"The Big Book of Organic Baby Food: Baby Purées, Finger Foods, and Toddler Meals For Every Stage"
Paizo Staff,3.6,6,Pathfinder Bestiary (P2)
Nicole Snow,4.6,258,No Good Doctor
Judy Blume,4.7,710,Tales of a Fourth Grade Nothing
Edward Snowden,N/A,0,Permanent Record
Joanna Faber,4.8,276,How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7
George R. R. Martin,4.6,10445,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons 
Hayden-McNeil Publishers,4.6,490,Student Lab Notebook: 100 Spiral Bound duplicate pages(Package may vary)
Karen Katz,4.7,2059,Where Is Baby's Belly Button? A Lift-the-Flap Book
Sherman Alexie,4.6,1889,The Absolutely True Diary of a Part-Time Indian
Anthony William,4.7,2186,"Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr"
John Plant,N/A,0,"Primitive Technology: A Survivalist's Guide to Building Tools, Shelters, and More in the Wild"
Rachel Maddow,N/A,0,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive  Industry on Earth"
Georgia Hunter,4.8,2369,We Were the Lucky Ones: A Novel
Liane Moriarty,4.5,16324,Big Little Lies
Alexandra Penfold,4.9,59,All Are Welcome
Katie Daisy,4.3,124,"Katie Daisy 2019 - 2020 On-the-Go Weekly Planner: 17-Month Calendar with Pocket (Aug 2019 - Dec 2020, 5"" x 7"" closed)"
Diane Alber,4.8,216,I'm NOT just a Scribble...
DK,4.4,1854,Baby Touch and Feel: Animals
Judy Blume,4.7,710,Tales of a Fourth Grade Nothing
Terry Bolryder,4.8,59,Heart of the Dragons (Bad Dragons Book 2)
Edward Snowden,N/A,0,Permanent Record
Diana Gabaldon,4.6,19675,"Outlander: Outlander, Book 1"
Joanna Faber,4.8,276,How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7
George R. R. Martin,4.6,10445,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons 
Hayden-McNeil Publishers,4.6,490,Student Lab Notebook: 100 Spiral Bound duplicate pages(Package may vary)
Karen Katz,4.7,2059,Where Is Baby's Belly Button? A Lift-the-Flap Book
Sherman Alexie,4.6,1889,The Absolutely True Diary of a Part-Time Indian
Anthony William,4.7,2186,"Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr"
John Plant,N/A,0,"Primitive Technology: A Survivalist's Guide to Building Tools, Shelters, and More in the Wild"
Rachel Maddow,N/A,0,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive  Industry on Earth"
Georgia Hunter,4.8,2369,We Were the Lucky Ones: A Novel
Liane Moriarty,4.5,16324,Big Little Lies
Alexandra Penfold,4.9,59,All Are Welcome
Katie Daisy,4.3,124,"Katie Daisy 2019 - 2020 On-the-Go Weekly Planner: 17-Month Calendar with Pocket (Aug 2019 - Dec 2020, 5"" x 7"" closed)"
Diane Alber,4.8,216,I'm NOT just a Scribble...
DK,4.4,1854,Baby Touch and Feel: Animals
Deborah Jones Merritt,5.0,3,Learning Evidence: From the Federal Rules to the Courtroom (Learning Series)
Caroline Jayne Church,4.8,793,I Am a Big Sister
Nathan W. Pyle,N/A,0,Strange Planet
John John Bajet,4.2,23,Bedtime for Baby Shark: Doo Doo Doo Doo Doo Doo
GMAC (Graduate Management Admission Council),3.1,8,GMAT Official Guide 2020 Bundle: 3 Books + Online Question Bank
Primary Journal,4.5,16,"Primary Journal: Black Marble,Composition Book, draw and write journal, Unruled Top, .5 Inch Ruled Bottom Half, 100 Sheets, 7.5 in x 9.25 in, 19.05 x 23.495 cm,Soft Durable Cover"
Hannah Hall,4.9,875,God Bless You and Good Night (A God Bless Book)
America's Test Kitchen,4.5,698,"The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day"
Anthony William,4.7,1476,Medical Medium Life-Changing Foods: Save Yourself and the Ones You Love with the Hidden Healing Powers of Fruits & Vegetables
"Nagoski Ph.D., Emily",4.5,448,Come as You Are: The Surprising New Science that Will Transform Your Sex Life
Mike Bayer,4.5,320,"Best Self: Be You, Only Better"
John Knowles,4.2,913,A Separate Peace
Julia Cameron,4.6,669,The Artist's Way: 25th Anniversary Edition
Marjane Satrapi,4.5,547,Persepolis: The Story of a Childhood (Pantheon Graphic Library)
Emily Oster,4.4,925,Expecting Better: Why the Conventional Pregnancy Wisdom Is Wrong--and What You Really Need to Know
"Gundry  MD, Dr. Steven R",4.1,148,"The Plant Paradox Quick and Easy: The 30-Day Plan to Lose Weight, Feel Great, and Live Lectin-Free"
Adrian Kulp,4.6,164,We're Pregnant! The First Time Dad's Pregnancy Handbook
Angie Thomas,4.7,141,The Hate U Give Collector's Edition
James Patterson,4.5,677,The First Lady
Julia Cook,4.7,135,Decibella and Her 6-Inch Voice (Communicate With Confidence)
Modern Kid Press,4.6,136,"Number Tracing Book for Preschoolers and Kids Ages 3-5: Trace Numbers Practice Workbook for Pre K, Kindergarten and Kids Ages 3-5 (Math Activity Book)"
Barbara Park,4.4,1176,Junie B. Jones's First Boxed Set Ever! (Books 1-4)
Rupi Kaur,4.6,6590,Milk and Honey
N/A,4.1,294,"teytoy My First Soft Book, Nontoxic Fabric Baby Cloth Books Early Education Toys Activity Crinkle Cloth Book for Toddler, Infants and Kids Perfect for Baby Shower -Pack of 6"
Timothy C. Winegard,4.3,11,The Mosquito: A Human History of Our Deadliest Predator
Grace Byers,4.8,257,I Am Enough
Richard Rohr,4.6,178,"The Universal Christ: How a Forgotten Reality Can Change Everything We See, Hope For, and Believe"
"Gottman Ph.D., John",4.8,56,Eight Dates: Essential Conversations for a Lifetime of Love
Brighter Child,3.7,748,"Carson Dellosa - Multiplication Flash Cards Factors 0 to 12 - 54 Cards with 100 Problems for 3rd and 4th Grade Math, Ages 8+ with Bonus Game Card (Brighter Child Flash Cards) (Packaging may vary)"
Howard Stern,3.7,1875,Howard Stern Comes Again
Jeanne Wakatsuki Houston,4.4,323,Farewell to Manzanar
Annie Grace,4.6,1101,"This Naked Mind: Control Alcohol, Find Freedom, Discover Happiness & Change Your Life"
Jacquelyn Stagg,4.7,97,Kindness Starts With You - At School
Dr. Joe Dispenza,4.6,1144,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One
The Modern Language Association of America,4.0,309,MLA Handbook
Arin Murphy-Hiscock,4.7,357,"The Green Witch: Your Complete Guide to the Natural Magic of Herbs, Flowers, Essential Oils, and More"
Richard Bullock,4.2,162,The Little Seagull Handbook with Exercises (Third Edition)
Jason Reynolds,4.7,342,Long Way Down
Greer Hendricks,4.2,2883,The Wife Between Us: A Novel
Neil Gaiman,4.6,2270,Good Omens
Peter Williamson,4.9,311,The Great Adventure Catholic Bible
Marsha M. Linehan,4.6,469,"DBT® Skills Training Handouts and Worksheets, Second Edition"
Cheri Smith,3.2,609,"Signing Naturally: Student Workbook, Units 1-6 (Book & DVDs)"
Rick Riordan,4.8,542,The Heroes of Olympus Paperback Boxed Set
Madeline Puckette,4.8,201,Wine Folly: Magnum Edition: The Master Guide
David Berman,4.4,36,Actual Air
Nathan Maynard,4.6,49,Hacking School Discipline: 9 Ways to Create a Culture of Empathy and Responsibility Using Restorative Justice (Hack Learning Series)
Brené Brown,4.7,1243,"Rising Strong: How the Ability to Reset Transforms the Way We Live, Love, Parent, and Lead"
Lois Lowry,4.8,2239,Number the Stars
Robert Bucknam M.D.,3.8,1054,"On Becoming Babywise: Giving Your Infant the Gift of Nighttime Sleep ""2019 edition""- Interactive Support"
John Doerr,4.3,264,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs"
Jeff Garrett,4.9,98,A Guide Book of United States Coins 2020
Gabi Garcia,4.6,201,Listening to My Body: A guide to helping kids understand the connection between their sensations (what the heck are those?) and feelings so that they can get better at figuring out what they need.
Caroline Jayne Church,4.8,597,I Am a Big Brother
Lorraine Hansberry,4.5,500,A Raisin in the Sun
Liz Wheeler,4.8,258,Tipping Points: How to Topple the Left's House of Cards
Lysa TerKeurst,4.7,2010,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely"
Sherri Duskey Rinker,4.9,3090,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children s Board Book)"
Natasha Wing,4.4,201,The Night Before Preschool
Mark Hyman M.D.,4.1,1424,The Blood Sugar Solution 10-Day Detox Diet: Activate Your Body's Natural Ability to Burn Fat and Lose Weight Fast
Tayari Jones,4.4,2755,An American Marriage (Oprah’s Book Club): A Novel
Scott Young,4.7,20,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career"
"deGrasse Tyson, Neil",4.6,4049,Astrophysics for People in a Hurry
Abby Jimenez,4.9,739,The Friend Zone
America's Test Kitchen Kids,4.8,193,The Complete Cookbook for Young Chefs
Merriam-Webster,4.2,639,"The Merriam-Webster Dictionary, New Edition (c) 2016"
William Kent Krueger,4.6,4362,Ordinary Grace: A Novel
D.J. Steinberg,4.3,52,"Second Grade, Here I Come!"
Kohei Horikoshi,5.0,10,"My Hero Academia, Vol. 20 (20)"
Amy Krouse Rosenthal,4.8,866,"I Wish You More (Encouragement Gifts for Kids, Uplifting Books for Graduation)"
Helen Hardt,4.7,434,Breathless (Steel Brothers Saga Book 10)
Modern Kid Press,4.4,121,"Trace Letters Of The Alphabet and Sight Words (On The Go): Preschool Practice Handwriting Workbook: Pre K, Kindergarten and Kids Ages 3-5 Reading And Writing"
Cindy Elsharouni,4.5,404,"Adult Coloring Book : Stress Relieving Designs Animals, Mandalas, Flowers, Paisley Patterns And So Much More: Coloring Book For Adults"
Harry K. Wong;Rosemary T. Wong,4.5,42,THE First Days of School: How to Be an Effective Teacher (Book & DVD)
Bob Goff,4.8,2968,Love Does: Discover a Secretly Incredible Life in an Ordinary World
Bella Forrest,4.5,1186,Harley Merlin and the Secret Coven
Derrick Barnes,4.9,17,The King of Kindergarten
Wizards RPG Team,4.6,264,D&D MORDENKAINEN'S TOME OF FOES (Dungeons & Dragons)
Arthur Miller,4.2,600,The Crucible: A Play in Four Acts
William Klein,1.4,3,"Business Associations, Cases and Materials on Agency, Partnerships, Llcs, and Corporations (University Casebook Series)"
Barbara Bregstein,4.5,942,Easy Spanish Step-By-Step
Karen Rostoker-Gruber,4.5,23,Ferret Fun in the Sun
Jason Fung,4.8,588,The Diabetes Code: Prevent and Reverse Type 2 Diabetes Naturally
Rick Steves,4.5,147,Rick Steves Italy 2019
Pretty Laks Creation,3.7,5,"Troop Leader Planner: A Must-Have Troop Organizer , Dated Aug 2019 - Aug 2020"
Hal Elrod,4.6,3652,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life - Before 8AM
Diana Gabaldon,4.7,679,"Outlander 4-Copy Boxed Set: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn"
Jason Barron,4.9,29,The Visual MBA: Two Years of Business School Packed into One Priceless Book of Pure Awesomeness
Dr. Seuss,4.5,1434,You're Only Old Once!: A Book for Obsolete Children
Patrice Karst,4.8,98,The Invisible String
Deborah Diesen,4.6,50,"The Pout-Pout Fish, Far, Far from Home (A Pout-Pout Fish Adventure)"
Tom Standage,4.4,664,A History of the World in 6 Glasses
Matthew McKay,4.5,900,"The Dialectical Behavior Therapy Skills Workbook: Practical DBT Exercises for Learning Mindfulness, Interpersonal Effectiveness, Emotion Regulation & ... (A New Harbinger Self-Help Workbook)"
Ryan Holiday,4.7,833,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living"
Carol Taylor,4.2,13,Fundamentals of Nursing: The Art and Science of Person-Centered Care
Jean Reagan,4.8,859,How to Babysit a Grandma (How To...relationships)
Bill Burnett,4.5,382,"Designing Your Life: How to Build a Well-Lived, Joyful Life"
Stephen King,4.8,3413,On Writing: 10th Anniversary Edition: A Memoir of the Craft
C. S. Lewis,4.7,3296,Mere Christianity
David M Greene,4.7,73,"Buy, Rehab, Rent, Refinance, Repeat: The BRRRR Rental Property Investment Strategy Made Simple"
Malala Yousafzai,4.8,568,I Am Malala: How One Girl Stood Up for Education and Changed the World (Young Readers Edition)
M Prefontaine,4.5,105,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids)
Tiffany Jenkins,4.9,2449,High Achiever: The Incredible True Story of One Addict's Double Life
Jordan Lee Dooley,4.9,347,Own Your Everyday: Overcome the Pressure to Prove and Show Up for What You Were Made to Do
Antoni Porowski,N/A,0,Antoni in the Kitchen
Mat Best,N/A,0,Thank You for My Service
Jimmy Fallon,4.3,432,Everything Is Mama
Rick Riordan,N/A,0,"The Tyrant's Tomb (The Trials of Apollo, Book Four)"
Brighter Child,4.5,809,"Carson Dellosa - Alphabet Flash Cards - 54 Cards for Toddler Early Learning, Uppercase and Lowercase Letters, ABCs with Bonus Game Card, Ages 4+ (Brighter Child Flash Cards)"
Kerry Lonsdale,4.2,582,Last Summer: A Novel
Edith Hamilton,4.4,630,Mythology: Timeless Tales of Gods and Heroes
Inc. Peter Pauper Press,4.6,2366,The Personal Internet Address & Password Logbook
Dan Santat,4.7,291,After the Fall (How Humpty Dumpty Got Back Up Again)
E. B White,4.8,1615,Charlotte's Web
Jon Gordon,4.8,148,The Coffee Bean: A Simple Lesson to Create Positive Change
Kate DiCamillo,4.8,1273,Because of Winn-Dixie
Seamus Heaney,4.4,451,Beowulf: A New Verse Translation (Bilingual Edition)
Julie Ann Walker,4.5,137,In Moonlight and Memories: Volume One
Jason Reynolds,4.8,235,Ghost (1) (Track)
Nicole Dennis-Benn,4.7,25,Patsy: A Novel
Eric Schmidt,4.5,163,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell
Kurt Vonnegut,4.2,3021,Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels)
Catherine D. Hughes,4.8,1277,National Geographic Little Kids First Big Book of Space (National Geographic Little Kids First Big Books)
Law School Admission Council,4.7,69,"10 Actual, Official LSAT PrepTests Volume VI: (PrepTests 72–81)"
Kevin Henkes,4.7,398,Chrysanthemum
John Boyne,4.6,1982,The Boy in the Striped Pajamas
Dan Dobbs,2.9,8,"Torts and Compensation, Personal Accountability and Social Responsibility for Injury, Concise (American Casebook Series)"
Daniel James Brown,4.8,20963,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
Erik Larson,4.3,5934,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
Edith Hamilton,4.4,630,Mythology: Timeless Tales of Gods and Heroes
Inc. Peter Pauper Press,4.6,2366,The Personal Internet Address & Password Logbook
Dan Santat,4.7,291,After the Fall (How Humpty Dumpty Got Back Up Again)
E. B White,4.8,1615,Charlotte's Web
Nelson DeMille,4.0,3098,The Cuban Affair: A Novel
Sophie Ranald,4.0,101,Sorry Not Sorry: The perfect laugh out loud romantic comedy
